id_type,type
311,MANTECA
312,LECHES SABORIZADAS
313,LECHE CULTIVADA
314,HUEVO DE GALLINA LIBRE/FELIZ
315,MERMELADAS
316,LECHE SABORIZADA
317,ARROZ CON LECHE
318,LEVADURA SECA
319,COCO
320,JALEA
321,ACEITE VEGETAL
322,ARROZ ESPECIAL
323,SALSA DE TOMATE
324,CREMAS INSTANTÁNEAS
325,SAL FINA
326,LECHE CONDENSADA
327,PASTAS LARGAS
328,ACEITE DE GIRASOL
329,HARINA DE TRIGO
330,ARROZ PRE GRANEADO
331,MAYONESA
332,PASTAS CORTAS
333,VERDURAS EN CONSERVAS
334,ACEITE DE CANOLA
335,KÉTCHUP
336,CHAMPIÑONES
337,AJO
338,SAL DE MAR
339,PAPAS FRITAS
340,CREMAS VEGETALES
341,CANELA
342,MANÍ
343,ACEITUNAS HUASCO
344,CONDIMENTOS
345,POROTOS NEGROS
346,MIX FRUTAS
347,CALDOS CALUGAS
348,LECHE EVAPORADA
349,GARBANZOS
350,MOSTAZA
351,POLVOS DE HORNEAR
352,RAVIOLI
353,SÉMOLA
354,RAMITAS
355,MASAS LASAÑA
356,POROTOS CON RIENDAS
357,LENTEJAS
358,ARROZ INTEGRAL
359,SALSA DE SOYA
360,POROTOS BLANCOS
361,SAZONADORES
362,BICARBONATO
363,CUSCÚS
364,VINAGRE VINO BLANCO
365,AJÍ DE COLOR
366,CREMA PARA BATIR
367,POROTOS TÓRTOLA
368,CHUCRUT
369,ACEITE DE OLIVA
370,PURÉ INSTANTÁNEO
371,HARINA INTEGRAL
372,ALMIDÓN DE MAÍZ
373,CALDOS EN POLVO
374,QUINOA
375,COCO RALLADO
376,VINAGRE VINO ROSADO
377,CREMA CHANTILLY
378,MIX FRUTOS SECOS
379,ACEITUNAS NEGRAS
380,GELATINAS
381,MEZCLA DE HARINAS
382,HARINA DE MAÍZ
383,PEPINILLOS
384,ACEITUNAS SEVILLANAS
385,CHOCLITOS
386,CHUÑO
387,FIDEOS INSTANTÁNEOS
388,TRIGO MOTE
389,VINAGRE DE MANZANA
390,SAL GRUESA
391,SALSAS UNTABLES
392,PICKLES
393,ALCAPARRAS
394,CASTAÑA CAJÚ
395,OTROS SNACKS
396,ACEITE DE COCO
397,CREMA PASTELERA
398,BASE ESTOFADO
399,SALSA BARBECUE
400,BRUSQUETTAS
401,PALMITOS
402,MOSTAZAS Y ADEREZOS
